"SN","Time","MME","	S1-MME Attach Success Rate(%)","	S1-MME Attach Delay(ms)","	S1-MME EPS Attach Success Rate(%)","	S1-MME EPS Attach Delay(ms)","	S1-MME Combined EPS/IMSI Attach Success Rate(%)","	S1-MME Combined EPS/IMSI Attach Delay(ms)"
"1","	2021-12-12 00:00","ANHVUSN03","60.69","857","7.70","766","61.63","856"
"2","	2021-12-12 00:00","GBHVUSN03","61.99","783","18.98","639","62.78","784"
"3","	2021-12-12 00:00","IMHVUSN02","68.79","969","5.90","547","70.13","969"
"4","	2021-12-12 00:00","AVHVUSN01","60.50","1016","7.80","846","61.51","1016"
"5","	2021-12-12 00:00","IMHVUSN03","63.47","856","7.03","833","64.36","856"
"6","	2021-12-12 00:00","GBHVUSN02","68.99","935","10.08","585","70.03","936"
"7","	2021-12-12 00:00","AVHVUSN03","66.73","831","8.63","665","67.44","835"
"8","	2021-12-12 00:00","ANHVUSN01","69.06","1065","11.15","809","69.90","1065"
"9","	2021-12-12 00:00","IMHVUSN01","70.84","1106","6.65","930","71.90","1107"
"10","	2021-12-12 00:00","GBHVUSN01","67.85","1064","11.41","786","68.78","1065"
"11","	2021-12-12 00:00","ANHVUSN02","70.44","884","8.17","570","71.54","885"
"12","	2021-12-12 00:00","AVHVUSN02","38.79","1802","0.00",,"40.34","1802"
"13","	2021-12-12 01:00","ANHVUSN03","55.24","857","8.20","702","56.18","857"
"14","	2021-12-12 01:00","GBHVUSN03","56.12","783","15.43","586","57.02","784"
"15","	2021-12-12 01:00","IMHVUSN02","63.66","1049","7.44","528","65.20","1051"
"16","	2021-12-12 01:00","AVHVUSN01","55.01","909","8.69","658","56.07","910"
"17","	2021-12-12 01:00","IMHVUSN03","59.58","833","7.80","696","60.53","833"
"18","	2021-12-12 01:00","GBHVUSN02","64.64","982","10.24","545","65.76","983"
"19","	2021-12-12 01:00","AVHVUSN03","64.02","840","8.61","693","64.80","845"
"20","	2021-12-12 01:00","ANHVUSN01","63.96","1059","8.16","823","64.93","1059"
"21","	2021-12-12 01:00","IMHVUSN01","66.53","1085","5.83","817","67.59","1086"
"22","	2021-12-12 01:00","GBHVUSN01","63.04","1049","10.89","651","64.02","1050"
"23","	2021-12-12 01:00","ANHVUSN02","66.03","954","7.19","598","67.30","954"
"24","	2021-12-12 01:00","AVHVUSN02","28.20","1573","0.00",,"29.98","1573"
"25","	2021-12-12 02:00","ANHVUSN03","53.44","968","7.53","753","54.39","969"
"26","	2021-12-12 02:00","GBHVUSN03","56.45","759","16.60","567","57.32","760"
"27","	2021-12-12 02:00","IMHVUSN02","60.78","1110","6.29","595","62.31","1112"
"28","	2021-12-12 02:00","AVHVUSN01","55.00","957","8.96","954","56.04","957"
"29","	2021-12-12 02:00","IMHVUSN03","56.81","843","8.60","768","57.76","843"
"30","	2021-12-12 02:00","GBHVUSN02","62.69","1070","9.05","591","63.96","1072"
