DT;Interconnect Count
1.10.2021;121407
2.10.2021;54945
3.10.2021;31077
4.10.2021;120577
5.10.2021;97341
6.10.2021;89232
7.10.2021;96453
8.10.2021;91616
9.10.2021;52829
10.10.2021;26810
11.10.2021;100036
12.10.2021;85446
13.10.2021;76478
14.10.2021;94401
15.10.2021;99436
16.10.2021;62412
17.10.2021;32352
18.10.2021;110401
19.10.2021;103102
20.10.2021;102750
21.10.2021;112526
22.10.2021;126952
23.10.2021;68380
24.10.2021;28178
25.10.2021;118644
26.10.2021;114579
27.10.2021;119929
28.10.2021;94891
29.10.2021;44987
30.10.2021;47180
31.10.2021;25986
1.11.2021;123228
2.11.2021;101191
3.11.2021;107216
4.11.2021;121352
5.11.2021;139313
6.11.2021;81011
7.11.2021;28634
8.11.2021;133840
9.11.2021;200492
10.11.2021;145322
11.11.2021;149780
12.11.2021;166711
13.11.2021;87469
14.11.2021;39367
15.11.2021;156872
16.11.2021;148129
17.11.2021;143954
18.11.2021;140390
19.11.2021;43156
20.11.2021;33738
21.11.2021;25015
22.11.2021;46238
23.11.2021;46350
24.11.2021;40640
25.11.2021;38664
26.11.2021;40208
27.11.2021;29763
28.11.2021;20551
29.11.2021;41803
30.11.2021;31137
1.12.2021;32065
2.12.2021;32898
3.12.2021;251
